id,province,adl_katz_score,net_family_income_cad,has_dtc,is_veteran,sensitivity_case,private_pay_annual_cad,out_of_pocket_before_credits_annual_cad,metc_qualifying_amount_cad,metc_federal_value_cad,metc_provincial_value_cad,metc_credit_value_cad,dtc_credit_value_cad,ccc_credit_value_cad,vac_vip_credit_value_cad,total_credits_value_cad,out_of_pocket_after_credits_annual_cad,effective_credit_fraction_of_oop
34,AB,2,100000,False,True,vip_only,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,0.0,0.0,12396.0,17632.96,6099.86,0.743
35,AB,2,100000,True,False,dtc_only,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,3087.4,0.0,0.0,8324.36,15408.46,0.3508
36,AB,2,100000,True,True,dtc_and_vip,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,3087.4,0.0,12396.0,20720.36,3012.46,0.8731
37,AB,2,150000,False,False,baseline,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,0.0,0.0,0.0,5236.96,18495.86,0.2207
38,AB,2,150000,False,True,vip_only,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,0.0,0.0,12396.0,17632.96,6099.86,0.743
39,AB,2,150000,True,False,dtc_only,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,3087.4,0.0,0.0,8324.36,15408.46,0.3508
40,AB,2,150000,True,True,dtc_and_vip,82175.25,23732.82,20973.82,3146.07,2090.88,5236.96,3087.4,0.0,12396.0,20720.36,3012.46,0.8731
41,AB,3,25000,False,False,baseline,65586.91,24773.02,24023.02,3603.45,2402.3,6005.75,0.0,903.02,0.0,6908.78,17864.24,0.2789
42,AB,3,25000,False,True,vip_only,65586.91,24773.02,24023.02,3603.45,2402.3,6005.75,0.0,903.02,12396.0,19304.78,5468.24,0.7793
43,AB,3,25000,True,False,dtc_only,65586.91,24773.02,24023.02,3603.45,2402.3,6005.75,3087.4,903.02,0.0,9996.18,14776.84,0.4035
44,AB,3,25000,True,True,dtc_and_vip,65586.91,24773.02,24023.02,3603.45,2402.3,6005.75,3087.4,903.02,12396.0,22392.18,2380.84,0.9039
45,AB,3,50000,False,False,baseline,65586.91,24773.02,23273.02,3490.95,2327.3,5818.25,0.0,0.0,0.0,5818.25,18954.77,0.2349
46,AB,3,50000,False,True,vip_only,65586.91,24773.02,23273.02,3490.95,2327.3,5818.25,0.0,0.0,12396.0,18214.25,6558.77,0.7352
47,AB,3,50000,True,False,dtc_only,65586.91,24773.02,23273.02,3490.95,2327.3,5818.25,3087.4,0.0,0.0,8905.65,15867.37,0.3595
48,AB,3,50000,True,True,dtc_and_vip,65586.91,24773.02,23273.02,3490.95,2327.3,5818.25,3087.4,0.0,12396.0,21301.65,3471.37,0.8599
49,AB,3,75000,False,False,baseline,65586.91,24773.02,22523.02,3378.45,2252.3,5630.75,0.0,0.0,0.0,5630.75,19142.27,0.2273
50,AB,3,75000,False,True,vip_only,65586.91,24773.02,22523.02,3378.45,2252.3,5630.75,0.0,0.0,12396.0,18026.75,6746.27,0.7277
51,AB,3,75000,True,False,dtc_only,65586.91,24773.02,22523.02,3378.45,2252.3,5630.75,3087.4,0.0,0.0,8718.15,16054.87,0.3519
52,AB,3,75000,True,True,dtc_and_vip,65586.91,24773.02,22523.02,3378.45,2252.3,5630.75,3087.4,0.0,12396.0,21114.15,3658.87,0.8523
53,AB,3,100000,False,False,baseline,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,0.0,0.0,0.0,5497.0,19276.02,0.2219
54,AB,3,100000,False,True,vip_only,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,0.0,0.0,12396.0,17893.0,6880.02,0.7223
55,AB,3,100000,True,False,dtc_only,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,3087.4,0.0,0.0,8584.4,16188.62,0.3465
56,AB,3,100000,True,True,dtc_and_vip,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,3087.4,0.0,12396.0,20980.4,3792.62,0.8469
57,AB,3,150000,False,False,baseline,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,0.0,0.0,0.0,5497.0,19276.02,0.2219
58,AB,3,150000,False,True,vip_only,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,0.0,0.0,12396.0,17893.0,6880.02,0.7223
59,AB,3,150000,True,False,dtc_only,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,3087.4,0.0,0.0,8584.4,16188.62,0.3465
60,AB,3,150000,True,True,dtc_and_vip,65586.91,24773.02,22014.02,3302.1,2194.9,5497.0,3087.4,0.0,12396.0,20980.4,3792.62,0.8469
61,AB,4,25000,False,False,baseline,48998.57,26004.82,25254.82,3788.22,2525.48,6313.71,0.0,903.02,0.0,7216.73,18788.09,0.2775
62,AB,4,25000,False,True,vip_only,48998.57,26004.82,25254.82,3788.22,2525.48,6313.71,0.0,903.02,12396.0,19612.73,6392.09,0.7542
63,AB,4,25000,True,False,dtc_only,48998.57,26004.82,25254.82,3788.22,2525.48,6313.71,3087.4,903.02,0.0,10304.13,15700.69,0.3962
64,AB,4,25000,True,True,dtc_and_vip,48998.57,26004.82,25254.82,3788.22,2525.48,6313.71,3087.4,903.02,12396.0,22700.13,3304.69,0.8729
65,AB,4,50000,False,False,baseline,48998.57,26004.82,24504.82,3675.72,2450.48,6126.21,0.0,0.0,0.0,6126.21,19878.61,0.2356
66,AB,4,50000,False,True,vip_only,48998.57,26004.82,24504.82,3675.72,2450.48,6126.21,0.0,0.0,12396.0,18522.21,7482.61,0.7123
67,AB,4,50000,True,False,dtc_only,48998.57,26004.82,24504.82,3675.72,2450.48,6126.21,3087.4,0.0,0.0,9213.61,16791.21,0.3543
68,AB,4,50000,True,True,dtc_and_vip,48998.57,26004.82,24504.82,3675.72,2450.48,6126.21,3087.4,0.0,12396.0,21609.61,4395.21,0.831
